,timestamp,likeable,surprising,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,age,gender,edu,group
136,2019/01/10 2:13:00 PM EST,9.0,8.0,30.0,30.0,1.0,15.0,33.0,-30.0,-30.0,15.0,-60.0,30.0,25.0,m,2yr,0
137,2019/01/10 2:14:48 PM EST,6.0,7.0,88.0,25.0,1.0,15.0,32.0,84.0,33.0,56.0,51.0,300.0,21.0,m,4yr,0
138,2019/01/10 2:17:58 PM EST,4.0,6.0,-15.0,100.0,1.0,20.0,32.0,-50.0,-20.0,50.0,-50.0,300.0,23.0,m,4yr,0
139,2019/01/10 2:21:13 PM EST,8.0,6.0,-88.0,50.0,1.0,15.0,32.0,-83.0,-50.0,56.0,-50.0,302.0,33.0,m,masters,0
140,2019/01/10 2:23:14 PM EST,10.0,3.0,-80.0,200.0,1.0,15.0,32.0,-80.0,-30.0,55.0,-51.0,302.0,42.0,m,4yr,0
141,2019/01/10 2:25:07 PM EST,7.0,4.0,-88.0,25.0,1.0,15.0,30.0,-84.0,-33.0,56.0,-51.0,300.0,47.0,m,masters,0
142,2019/01/10 2:27:33 PM EST,9.0,8.0,-50.0,15.0,1.0,24.0,31.0,-90.0,-10.0,56.0,-51.0,302.0,18.0,m,grade,0
143,2019/01/10 2:32:02 PM EST,6.0,6.0,80.0,25.0,1.0,15.0,15.0,84.0,25.0,56.0,50.0,75.0,24.0,f,none,0
144,2019/01/10 2:33:02 PM EST,5.0,8.0,-90.0,30.0,1.0,15.0,30.0,-70.0,-80.0,50.0,-55.0,50.0,17.0,none,none,0
145,2019/01/10 2:33:33 PM EST,4.0,1.0,33.0,160.0,1.0,17.0,37.0,-84.0,-33.0,52.0,-51.0,301.0,40.0,m,masters,0
146,2019/01/10 2:34:01 PM EST,5.0,3.0,-20.0,25.0,18.0,24.0,32.0,-24.0,5.0,26.0,5.0,302.0,67.0,m,phd,0
147,2019/01/10 2:35:51 PM EST,7.0,4.0,30.0,30.0,1.0,15.0,15.0,-86.0,-30.0,57.0,-33.0,308.0,20.0,m,4yr,0
148,2019/01/10 2:36:23 PM EST,8.0,3.0,-88.0,25.0,1.0,15.0,32.0,-85.0,-30.0,50.0,-50.0,302.0,42.0,m,4yr,0
149,2019/01/10 2:37:33 PM EST,3.0,6.0,-88.0,25.0,1.0,15.0,33.0,-84.0,-33.0,50.0,-60.0,25.0,32.0,f,phd,0
150,2019/01/10 2:39:23 PM EST,8.0,6.0,-50.0,60.0,1.0,15.0,30.0,-40.0,-30.0,58.0,-50.0,300.0,21.0,m,4yr,0
151,2019/01/10 2:43:50 PM EST,3.0,5.0,-206.0,25.0,1.0,15.0,32.0,-206.0,-33.0,52.0,-33.0,302.0,48.0,m,4yr,0
152,2019/01/10 2:45:10 PM EST,7.0,2.0,-10.0,300.0,1.0,15.0,15.0,-40.0,10.0,51.0,-33.0,302.0,34.0,m,masters,0
153,2019/01/10 2:48:08 PM EST,4.0,4.0,-80.0,30.0,1.0,15.0,40.0,-80.0,-33.0,50.0,-80.0,300.0,19.0,f,high,0
154,2019/01/10 2:49:28 PM EST,8.0,6.0,-88.0,300.0,1.0,15.0,32.0,-54.0,15.0,54.0,51.0,300.0,36.0,m,4yr,0
155,2019/01/10 2:49:42 PM EST,8.0,8.0,-88.0,110.0,1.0,15.0,32.0,-80.0,-40.0,56.0,-30.0,302.0,,none,none,0
156,2019/01/10 2:50:20 PM EST,8.0,8.0,-88.0,20.0,1.0,25.0,5.0,-81.0,-10.0,80.0,-20.0,25.0,75.0,m,phd,0
157,2019/01/10 2:51:29 PM EST,5.0,4.0,-60.0,26.0,1.0,50.0,33.0,-33.0,-33.0,50.0,49.0,40.0,16.0,none,grade,0
158,2019/01/10 3:00:21 PM EST,7.0,3.0,-90.0,50.0,1.0,15.0,35.0,-85.0,-30.0,55.0,-50.0,300.0,33.0,m,masters,0
159,2019/01/10 3:01:52 PM EST,7.0,3.0,-88.0,23.0,1.0,15.0,60.0,-84.0,-12.0,56.0,-50.0,203.0,17.0,m,grade,0
160,2019/01/10 3:04:36 PM EST,6.0,6.0,1.0,25.0,1.0,10.0,32.0,-85.0,0.0,50.0,0.0,0.0,25.0,m,masters,0
161,2019/01/10 3:11:48 PM EST,7.0,3.0,83.0,33.0,1.0,15.0,32.0,-60.0,20.0,35.0,-2.5,330.0,42.0,m,4yr,0
162,2019/01/10 3:12:02 PM EST,5.0,5.0,-30.0,30.0,1.0,25.0,30.0,-40.0,-30.0,56.0,-20.0,302.0,16.0,m,grade,0
163,2019/01/10 3:12:16 PM EST,8.0,4.0,-88.0,0.0,1.0,15.0,34.0,-88.0,-33.0,0.0,-51.0,302.0,18.0,m,high,0
164,2019/01/10 3:17:18 PM EST,8.0,8.0,-30.0,30.0,1.0,15.0,30.0,-20.0,20.0,50.0,-40.0,100.0,20.0,m,high,0
165,2019/01/10 3:25:53 PM EST,7.0,3.0,-80.0,0.0,1.0,15.0,32.0,-60.0,-30.0,56.0,-50.0,0.0,30.0,m,phd,0
166,2019/01/10 3:26:57 PM EST,8.0,8.0,-89.0,50.0,1.0,15.0,35.0,-80.0,-25.0,51.0,-50.0,300.0,20.0,m,2yr,0
