"Timestamp","How much did you LIKE the previous page? (Be honest!)","How SURPRISING did the statistics feel to you? (regardless if you dis/liked the presentation style)","From 1910–2015, what was the % change in extreme poverty? (if decrease, type negative number)","From 1990–2016, what was the % change in air particle pollution? (if decrease, type negative number)","In 2016, what % of deaths were from homicide + war + terrorism combined?","In 2016, what % of world had at least one mental/substance disorder?","In 2016, what % of deaths were from heart disease?","From 1986–2014, what was the % change in nuclear warheads? (if decrease, type negative number)","From 1990–2016, what was the % change in the suicide death rate? (if decrease, type negative number)","In 2015, what % of people lived in a democracy?","From 1950–2015, what was the % change in the world's fertility rate? (if decrease, type negative number)","From 1959–2016, what was the % change in CO2 emissions? (if decrease, type negative number)","What's your age? (OPTIONAL)","What's your gender? (OPTIONAL)","What's the highest level of academic schooling you've completed so far? (OPTIONAL)"
"2019/01/10 3:04:36 PM EST","6","6","1","25","1","10","32","-85","","50","","","25","Male","Master's degree"
"2019/01/10 3:11:48 PM EST","7","3","083","33","1","15","32","-60","20","35","-2.5","330","42","male","4-year college degree (Bachelor's)"
"2019/01/10 3:12:02 PM EST","5","5","-30","30","1","25","30","-40","-30","56","-20","302","16","m","Grade school/Primary school"
"2019/01/10 3:12:16 PM EST","8","4","-88","","1","15","34","-88","-33","","-51","302","18","Male","High school/Secondary school/GED"
"2019/01/10 3:17:18 PM EST","8","8","-30","30","1","15","30","-20","20","50","-40","100","20","Male","High school/Secondary school/GED"
"2019/01/10 3:25:53 PM EST","7","3","-80","0","1","15","32","-60","-30","56","-50","0","30","Male","PhD or other advanced professional degree"
"2019/01/10 3:26:57 PM EST","8","8","-89","50","1","15","35","-80","-25","51","-50","300","20","Male","2-year college degree (Associate's)"
"2019/01/10 3:30:17 PM EST","8","1","-84","25","1","15","32","-88","-88","54","51","302","","","High school/Secondary school/GED"
"2019/01/10 3:33:03 PM EST","6","2","-88","25","1","16","32","-86","-33","56","-50","300","32","Male","4-year college degree (Bachelor's)"
"2019/01/10 3:35:42 PM EST","3","3","-86","-16","1","13","34","-84","-16","56","-50","310","21","Male","2-year college degree (Associate's)"
"2019/01/10 3:38:57 PM EST","3","1","-89","23","1","15","32","-86","-31","56","-51","302","25","Male","Master's degree"
"2019/01/10 3:43:28 PM EST","8","3","88","300","1","54","56","40","-40","80","-80","304","23","Female","4-year college degree (Bachelor's)"
"2019/01/10 3:44:47 PM EST","9","9","-80","25","1","15","32","-84","33","51","-51","304","21","Female","2-year college degree (Associate's)"
"2019/01/10 3:53:16 PM EST","6","3","-22","23","1","15","26","-65","14","55","12","306","36","Male","4-year college degree (Bachelor's)"
"2019/01/10 3:54:05 PM EST","7","7","-88","25","1","21","32","-84","-33","56","-51","260","22","M","2-year college degree (Associate's)"
"2019/01/10 3:54:29 PM EST","9","7","","","1","15","33","-80","-14","56","-53","","40","M","4-year college degree (Bachelor's)"
"2019/01/10 3:55:08 PM EST","4","5","-80","0","1","15","35","-80","-15","60","-30","350","31","male","Master's degree"
"2019/01/10 4:00:24 PM EST","10","7","-88","40","1","15","32","-30","-18","54","-50","350","19","Male","High school/Secondary school/GED"
"2019/01/10 4:02:33 PM EST","5","5","-33","25","1","15","34","-84","10","54","-33","304","22","Male","4-year college degree (Bachelor's)"
"2019/01/10 4:06:47 PM EST","7","6","-60","50","1","20","30","-60","10","50","-50","300","31","Male","PhD or other advanced professional degree"
"2019/01/10 4:09:44 PM EST","3","3","-80","30","1","15","35","-80","-15","56","-50","300","20","Male","4-year college degree (Bachelor's)"
"2019/01/10 4:10:02 PM EST","6","6","-88","30","1","10","60","-84","-68","52","-58","302","","",""
"2019/01/10 4:11:38 PM EST","6","4","87","25","1","14","32","-87","40","56","-52","302","18","Masculine","High school/Secondary school/GED"
"2019/01/10 4:12:01 PM EST","7","8","-82","15","1","15","32","-84","15","51","-38","302","16","Male","High school/Secondary school/GED"
"2019/01/10 4:16:19 PM EST","6","7","-87","25","1","15","32","-56","-16","56","-51","304","36","Male","PhD or other advanced professional degree"
"2019/01/10 4:22:54 PM EST","6","3","-80","25","1","15","32","-88","-33","56","-51","300","27","Female","4-year college degree (Bachelor's)"
"2019/01/10 4:24:10 PM EST","4","4","-15","15","1","20","35","-80","15","75","-30","70","21","Male","4-year college degree (Bachelor's)"
"2019/01/10 4:24:50 PM EST","3","6","-84","30","1","15","33","-12","15","56","-32","302","33","Male","4-year college degree (Bachelor's)"
"2019/01/10 4:25:03 PM EST","3","5","-88","25","1","15","40","-60","-25","54","-50","80","","","4-year college degree (Bachelor's)"
"2019/01/10 4:29:19 PM EST","3","7","-80","30","1","15","33","-84","-30","56","-51","302","21","male","4-year college degree (Bachelor's)"
